A0A0C5B5G6	A0A0C5B5G6
Q06787	P35922
Q06787	Q80WE1
Q06787	P51113
Q06787	Q61584
Q06787	P51114
Q06787	P51115
Q06787	Q7ZTQ5
Q06787	Q5BJ56
Q06787	F1QLR3
Q06787	P51116
Q06787	Q9WVR4
Q06787	Q9NFU0
Q13224	Q13224
Q13224	Q01097
Q13224	Q00960
Q13224	Q00959
Q13224	B7ZSK1
Q13224	Q12879
Q13224	P35436
Q13224	O15399
Q13224	Q03391
Q13224	Q62645
Q13224	Q14957
Q13224	Q01098
Q13224	Q00961
Q13224	A7XY94
Q15751	Q15751
Q5T8D3	Q5T8D3
Q6BDI9	Q6BDI9
Q6ZTR5	Q6ZTR5
Q6ZTR5	A0A0G2JEB6
Q8N6I1	Q8N6I1
Q8ND83	Q8ND83
Q8NHQ9	Q8NHQ9
Q8TCE6	Q8TCE6
Q8WXI4	Q8WXI4
Q8WXI4	Q8VHQ9
Q8WXI4	Q8WYK0
Q8WXI4	Q99NB7
Q8WXI4	Q9DBK0
Q96BF3	Q96BF3
Q96EQ8	Q96EQ8
Q96EQ8	Q9D9R0
Q96LK0	Q96LK0
Q96PN7	Q96PN7
Q9BSD3	Q9BSD3
Q9GZP9	Q9GZP9
Q9GZP9	Q96Q80
Q9GZP9	Q21997
Q9GZP9	Q8BNI4
Q9GZP9	Q8VZU9
Q9H4D5	Q9H4D5
Q9H4D5	Q9GZY0
Q9H4D5	Q9UBU9
Q9H4D5	O88984
Q9H4D5	Q9H1B4
Q9H4D5	Q99JX7
Q9P2H0	Q9P2H0
Q9UJJ9	Q9UJJ9
Q9UJJ9	Q6S5C2
O60671	O60671
P07204	P07204
P07204	P15306
P09132	P09132
P09132	Q943Z6
P13804	P13804
P13804	Q93615
P13804	Q99LC5
P13804	P9WNG9
P13804	P78790
P13804	Q12480
P13804	Q9C6I6
P40763	P40763
P40763	P42227
P40763	Q9PVX8
P40763	P52631
P40763	Q14765
P40763	P42228
P40763	P42225
P40763	P42224
P40763	P52630
P40763	Q9WVL2
P49902	P49902
P49902	O46411
P49902	D3ZMY7
P49902	Q3V1L4
P49902	Q5ZIZ4
P49902	Q54XC1
P51854	P51854
P51854	Q9H0I9
P51854	P50137
P51854	P29401
P51854	P40142
Q5D0E6	Q5D0E6
Q5T197	Q5T197
Q5T197	Q059Y8
Q6P1X5	Q6P1X5
Q6P1X5	Q24325
Q6ZT21	Q6ZT21
Q7RTS9	Q7RTS9
Q8IU60	Q8IU60
Q8IU60	Q9CYC6
Q8N131	Q8N131
Q8NAP3	Q8NAP3
Q8NAP3	Q5EXX3
Q8WWF3	Q8WWF3
Q96JB2	Q96JB2
Q96JB2	Q961G1
Q9C0D3	Q9C0D3
Q9C0D3	Q5TYQ1
Q9NVX7	Q9NVX7
Q9Y2G8	Q9Y2G8
Q9Y605	Q9Y605
Q9Y605	Q96HT8
Q9Y605	Q5M820
Q9Y605	Q9CQL7
A5JYW9	A5JYW9
B2RX88	B2RX88
B2RX88	Q1MSJ5
D0VWM8	D0VWM8
G5EEG7	G5EEG7
G5EEG7	Q8W117
G5EEG7	Q76B40
G5EEG7	Q2TAY7
I7HJS4	I7HJS4
I7HJS4	Q8IZ20
O08560	O08560
O08560	Q13574
O08560	Q80UP3
O08560	D3YWQ0
O08560	O75912
O08560	F1MAB7
O08560	Q09103
O23702	O23702
O70173	O70173
O70173	O75747
O70173	O70167
P04039	P04039
P07013	P07013
P09021	P09021
P09021	P52949
P09021	P20719
P09021	P09079
P09021	P09067
P09021	P09014
P09021	P09013
P09021	P09017
P09021	Q08624
P09021	P10284
P09021	P17483
P09021	O57374
P09021	P10628
P09021	P09016
P09021	P06798
P09021	Q00056
P0A6D0	P0A6D0
P0AA10	P0AA10
P0AA10	Q9SYL9
P0AA10	P9WHE1
P0ACC1	P0ACC1
P0AG16	P0AG16
P0AG16	P41390
P0AG16	P04046
P10378	P10378
P10378	P71716
P16869	P16869
P18297	P18297
P18297	P35270
P18297	Q64105
P20053	P20053
P21179	P21179
P21179	Q96528
P21179	Q0E4K1
P21179	Q10S82
P21179	P12365
P21179	P30567
P21179	P25819
P21179	Q42547
P21179	P17598
P21179	Q0D9C4
P21179	P18122
P21179	O77229
P21179	P04762
P21179	Q27487
P21179	P17336
P21179	P00432
P21179	P24270
P21179	O61235
P21179	Q9PT92
P21179	P04040
P21179	Q64405
P21179	Q55DH8
P21179	Q877A8
P21179	Q92405
P21179	P55305
P21179	P18123
P21179	O52762
P21179	P77872
P21179	Q9C168
P23561	P23561
P31096	P31096
P31096	P10451
P31096	P10923
P31096	P08721
P33436	P33436
P33436	P08253
P33436	Q90611
P33436	P33434
P33436	P14780
P33436	P50282
P33436	P41245
P34555	P34555
P39377	P39377
P40191	P40191
P43585	P43585
P43585	Q02725
P49021	P49021
P52101	P52101
P53911	P53911
P63100	P63100
P63100	Q96LZ3
P63100	Q63811
P63100	Q24214
P63100	P63098
P63100	P63099
P63100	P28470
P63100	Q63810
P63100	P48451
P63100	Q55G87
P63100	G5EDN6
P63100	Q9UU93
P63100	Q6FLU4
P63100	P25296
P69451	P69451
P77182	P77182
Q00582	Q00582
Q00582	Q7L523
Q00582	Q63487
Q00582	O74824
Q00582	Q63486
Q00582	Q5VZM2
Q00582	Q80X95
Q05609	Q05609
Q09566	Q09566
Q12280	Q12280
Q24106	Q24106
Q39264	Q39264
Q54I36	Q54I36
Q5M731	Q5M731
Q5M731	O48881
Q63425	Q63425
Q63425	Q9BXM0
Q63425	O55103
Q6B9X6	Q6B9X6
Q6NME7	Q6NME7
Q8K4Q6	Q8K4Q6
Q8K4Q6	Q96FI4
Q8R366	Q8R366
Q8R366	Q969P0
Q8VY27	Q8VY27
Q93YU5	Q93YU5
Q9CQ82	Q9CQ82
Q9CQ82	Q13352
Q9LFR0	Q9LFR0
Q9LFR0	Q24451
Q9M2U2	Q9M2U2
Q9NEZ5	Q9NEZ5
Q9SDS7	Q9SDS7
Q9V4C8	Q9V4C8
Q9VMK3	Q9VMK3
Q9W1R5	Q9W1R5
Q9Y0E4	Q9Y0E4
A2AKK5	A2AKK5
A2AKK5	Q63276
A2AKK5	Q91X34
A2AKK5	Q14032
A2AKK5	Q9QYR9
A2AKK5	O88267
A2AKK5	Q9QYR7
A2AKK5	O55137
A2AKK5	Q86TX2
A2AKK5	O55171
A2AKK5	Q8BWN8
A2AKK5	Q6Q2Z6
A2AKK5	Q32Q92
A2AKK5	Q8N9L9
A2AKK5	P49753
A2AKK5	Q3I5F7
A8MS41	A8MS41
B6VQA1	B6VQA1
F4IAT2	F4IAT2
F4KGN5	F4KGN5
F4KGN5	O80905
G5EDZ2	G5EDZ2
O18195	O18195
O32001	O32001
O35914	O35914
O35914	Q01954
O35914	Q6ZN30
O35914	Q8BMQ3
P07017	P07017
P07017	P02942
P07017	P05704
P07017	P50466
P07017	P07018
P0AAN3	P0AAN3
P0AEM9	P0AEM9
P0C0T5	P0C0T5
P14565	P14565
P17169	P17169
P17169	P9WN49
P20050	P20050
P21165	P21165
P25502	P25502
P31376	P31376
P32432	P32432
P33749	P33749
P34907	P34907
P34907	P35352
P34907	Q9TX43
P34907	P13773
P36937	P36937
P38248	P38248
P38248	Q12355
P38782	P38782
P39428	P39428
P39428	Q13077
P39428	Q12933
P39428	P39429
P40124	P40124
P40124	Q01518
P40124	P52481
P40124	Q9CYT6
P40124	P40123
P51862	P51862
P51862	P53046
P53170	P53170
P53848	P53848
P54823	P54823
P54823	P26196
P54823	P54824
P54823	Q5AAW3
P54823	P39517
P54823	Q09181
P54823	Q94BV4
P54823	P23128
P54823	Q95YF3
P54823	Q8RXK6
P54823	Q9M2E0
P70388	P70388
P70388	A0A1L8GXM0
P70388	A0A1L8GVF0
P70388	Q9JIL8
P70388	Q92878
P76576	P76576
Q02496	Q02496
Q04999	Q04999
Q04999	P17491
Q04999	P09529
Q04999	P08476
Q04999	P18331
Q04999	P07995
Q04999	Q04998
Q06321	Q06321
Q06321	Q5A950
Q08298	Q08298
Q12508	Q12508
Q24266	Q24266
Q2MH31	Q2MH31
Q2MH31	Q8NCR6
Q54S40	Q54S40
Q76EI6	Q76EI6
Q76EI6	O15552
Q76EI6	Q8VCK6
Q76EI6	O14843
Q76EI6	Q3UFD7
Q76EI6	O15529
Q76EI6	B2GV46
Q84Y95	Q84Y95
Q84Y95	Q9HDW8
Q84Y95	Q86SX6
Q84Y95	Q6PBM1
Q84Y95	Q80Y14
Q84Y95	Q02784
Q84Y95	Q8LBK6
Q84Y95	P0AC69
Q8BZT7	Q8BZT7
Q8BZT7	Q9NZ20
Q8CIB9	Q8CIB9
Q8CIB9	Q56NI9
Q8CIB9	Q5SPR8
Q8LAD7	Q8LAD7
Q8R4T2	Q8R4T2
Q8R4T2	Q06985
Q8R4T2	O43255
Q8R4T2	Q8IUQ4
Q8R4T2	P61092
Q8R4T2	Q920M9
Q8R4T2	Q06986
Q8R4T2	P21461
Q8R4T2	Q965X6
Q8R4T2	Q8IW03
Q8R4T2	Q8T3Y0
Q8T498	Q8T498
Q8VZC3	Q8VZC3
Q924N4	Q924N4
Q924N4	Q28677
Q924N4	Q9UP95
Q924N4	Q9UHW9
Q924N4	Q9JIS8
Q924N4	Q91V14
Q924N4	Q9H2X9
Q924N4	Q63633
Q924N4	Q5RK27
Q924N4	Q9Y666
Q924N4	Q9WVL3
Q99J72	Q99J72
Q9DB00	Q9DB00
Q9DB00	Q3T8J9
Q9JMH7	Q9JMH7
Q9JMH7	Q8BZL1
Q9JMH7	Q8WWR8
Q9JMH7	O97859
Q9JMH7	Q9UQ49
Q9JMH7	Q9JMH3
Q9JMH7	Q9Y3R4
Q9JMH7	Q64627
Q9LNJ9	Q9LNJ9
Q9MA74	Q9MA74
Q9SQG2	Q9SQG2
Q9SQG2	Q9SPM5
Q9SV55	Q9SV55
Q9VCJ8	Q9VCJ8
Q9VCJ8	A0A126GUP6
Q9VCJ8	Q2VG86
Q9VCJ8	P13582
Q9VJD3	Q9VJD3
Q9VT00	Q9VT00
Q9W485	Q9W485
Q9W485	Q9UL03
Q9ZWM9	Q9ZWM9
Q9ZWM9	Q9C6M5
Q9ZWM9	P82280
Q9ZWM9	Q9LS06
A0A1I9LN01	A0A1I9LN01
F4J3N2	F4J3N2
G5EFD2	G5EFD2
O35543	O35543
O35543	O60760
O35543	Q9JHF7
O82132	O82132
O82132	O82133
P0AF36	P0AF36
P16926	P16926
P21375	P21375
P21375	P32614
P21375	O13755
P25822	P25822
P25822	Q80U78
P25822	Q80U58
P25822	Q8TB72
P25822	Q14671
P27514	P27514
P28629	P28629
P31396	P31396
P32389	P32389
P36077	P36077
P37666	P37666
P37666	Q9UBQ7
P38262	P38262
P39779	P39779
P39779	Q97PM1
P40563	P40563
P45975	P45975
P47083	P47083
P53871	P53871
P56959	P56959
P56959	P35637
P56959	Q92804
P56959	Q61545
P56959	Q01844
P56959	Q27294
P60882	P60882
P60882	Q7Z7M0
P77671	P77671
Q02955	Q02955
Q02955	P14778
Q02955	P13504
Q05344	Q05344
Q05344	Q08945
Q05344	Q08943
Q05344	Q9W602
Q05344	O01683
Q05344	P41848
Q06346	Q06346
Q07533	Q07533
Q0DJ33	Q0DJ33
Q0DJ33	P18064
Q12417	Q12417
Q12417	Q922V4
Q12417	O43660
Q12417	Q42384
Q12417	Q39190
Q12417	O13615
Q18825	Q18825
Q4VSN1	Q4VSN1
Q4VSN1	Q6XUX1
Q4VSN1	Q6XUX3
Q5E9F2	Q5E9F2
Q5E9F2	P14791
Q5E9F2	P09601
Q5E9F2	P14901
Q5E9F2	P06762
Q5E9F2	P32394
Q5E9F2	P23711
Q5E9F2	P30519
Q5S2C4	Q5S2C4
Q5Z5R4	Q5Z5R4
Q5Z5R4	Q93ZB2
Q5Z5R4	Q0DBF4
Q62318	Q62318
Q62318	Q13263
Q63690	Q63690
Q63690	Q07813
Q63690	Q07812
Q6AU80	Q6AU80
Q6AU80	Q8L735
Q6P1E7	Q6P1E7
Q6P1E7	Q96LW4
Q6P1E7	A0A3Q2TTB3
Q7TSH3	Q7TSH3
Q7TSH3	Q92618
Q84TI3	Q84TI3
Q8C886	Q8C886
Q8C886	Q494U1
Q8L540	Q8L540
Q8R422	Q8R422
Q8R422	Q6YHK3
Q8S1D9	Q8S1D9
Q8S1D9	Q9MA46
Q8S1D9	Q9SIN9
Q8S1D9	Q3EBR6
Q8S1D9	Q941F1
Q8S1D9	Q9C8J6
Q8S1D9	Q948R1
Q8S1D9	O23522
Q8VDA1	Q8VDA1
Q8VDA1	Q9ER65
Q8VDA1	F1R520
Q8VDA1	Q8R553
Q8VDA1	A0A8M9PFP2
Q8VDA1	Q9BQT9
Q8VDA1	Q99JH7
Q8VDA1	Q6Q0N0
Q8VDA1	B0S5G3
Q8VDA1	Q9EPL2
Q8VDA1	O94985
Q923L3	Q923L3
Q923L3	Q96PZ7
Q923L3	Q80T79
Q94AI6	Q94AI6
Q960X8	Q960X8
Q960X8	Q99LI8
Q960X8	O14964
Q960X8	Q9JJ50
Q99N48	Q99N48
Q99N48	Q4VX76
Q9CAD0	Q9CAD0
Q9CAD0	Q9FN69
Q9D4H1	Q9D4H1
Q9D4H1	Q96KP1
Q9D4H1	O54921
Q9ERZ8	Q9ERZ8
Q9ERZ8	Q9HBA0
Q9ERZ8	Q9EPK8
Q9ERZ8	A0A1D5PXA5
Q9ERZ8	Q9WTR1
Q9ERZ8	Q9WUD2
Q9ERZ8	Q9Y5S1
Q9ERZ8	Q6R5A3
Q9ERZ8	Q704Y3
Q9ERZ8	Q6RX08
Q9ERZ8	O35433
Q9ERZ8	Q8NER1
Q9ERZ8	Q8NET8
Q9ERZ8	Q8K424
Q9FKS4	Q9FKS4
Q9FUD3	Q9FUD3
Q9NLA1	Q9NLA1
Q9VAB8	Q9VAB8
Q9VK34	Q9VK34
Q9VK34	Q21921
Q9VU08	Q9VU08
Q9W1X9	Q9W1X9
Q9Z0E0	Q9Z0E0
Q9Z0E0	O35095
Q9Z0E0	Q9UBB6
Q9Z1J2	Q9Z1J2
Q9Z1J2	P51957
A0A0G2K1Q8	A0A0G2K1Q8
A0A0G2K1Q8	Q8R420
A0A0G2K1Q8	Q99758
A0A0G2K1Q8	E9PX95
A7TZE6	A7TZE6
G5EEH9	G5EEH9
O17736	O17736
O34527	O34527
P02888	P02888
P02888	P02887
P02888	P02886
P02888	P42530
P06959	P06959
P09547	P09547
P0A7L8	P0A7L8
P0A7L8	P9WHB3
P0AA89	P0AA89
P13635	P13635
P13635	Q61147
P13635	P00450
P13635	Q9Z0Z4
P13635	Q9BQS7
P13635	Q920H8
P13635	Q6MZM0
P16692	P16692
P22543	P22543
P22543	Q6FSR7
P23882	P23882
P25369	P25369
P28005	P28005
P32591	P32591
P33314	P33314
P34619	P34619
P35689	P35689
P35689	P28715
P38237	P38237
P52006	P52006
P53144	P53144
P53144	Q3SXD3
P53144	Q7Z4H3
P53144	P38331
P53144	P87242
P53688	P53688
P53688	Q9UR39
P76141	P76141
P91277	P91277
Q01593	Q01593
Q03705	Q03705
Q05021	Q05021
Q06211	Q06211
Q07243	Q07243
Q07243	Q14872
Q08760	Q08760
Q10AZ7	Q10AZ7
Q12262	Q12262
Q18264	Q18264
Q20977	Q20977
Q4JL91	Q4JL91
Q4JL91	Q5PXE9
Q4JL91	Q9H8X2
Q54HS9	Q54HS9
Q54HS9	Q9Y6Q5
Q54HS9	P35585
Q54HS9	P35602
Q54HS9	Q9BXS5
Q54HS9	Q9WVP1
Q54HS9	Q9HFE5
Q54HS9	O22715
Q54HS9	Q00776
Q5VCS6	Q5VCS6
Q60664	Q60664
Q60664	Q12912
Q6PH17	Q6PH17
Q6PH17	Q8K341
Q6PH17	Q5SQI0
Q6PH17	Q57XX3
Q6WN19	Q6WN19
Q6WN19	O70622
Q6WN19	O75298
Q84VV6	Q84VV6
Q8BGQ2	Q8BGQ2
Q8BGQ2	Q9H175
Q8BGQ2	P59055
Q8BGQ2	P59054
Q8BGQ2	Q96S65
Q8GTR4	Q8GTR4
Q8MIT6	Q8MIT6
Q8R2K4	Q8R2K4
Q8R2K4	Q9Y6J9
Q8T8R1	Q8T8R1
Q8W1W6	Q8W1W6
Q8W1W6	Q9FR97
Q93ZV7	Q93ZV7
Q94AN2	Q94AN2
Q99NG0	Q99NG0
Q99NG0	Q9Y4B4
Q9EQR5	Q9EQR5
Q9EQR5	Q9H400
Q9ESW4	Q9ESW4
Q9ESW4	Q53H12
Q9LXI8	Q9LXI8
Q9LXI8	Q56WL5
Q9M1V2	Q9M1V2
Q9M1V2	Q9FX56
Q9M1V2	O82330
Q9M1V2	Q9FX55
Q9M1V2	Q9ZPQ5
Q9M1V2	P52839
Q9M1V2	Q8L5A7
Q9M1V2	Q9C9C9
Q9M1V2	Q9FZ80
Q9M1V2	Q9C9D0
Q9N658	Q9N658
Q9QY05	Q9QY05
Q9R0G8	Q9R0G8
Q9SJF3	Q9SJF3
Q9VFC2	Q9VFC2
Q9VMD0	Q9VMD0
Q9W0T1	Q9W0T1
Q9WU79	Q9WU79
Q9WU79	O43272
Q9WU79	Q04499
Q9XER9	Q9XER9
Q9XER9	Q9LEY4
Q9Z0G2	Q9Z0G2
Q9Z0G2	Q9UPE1
Q9Z0G2	Q03563
Q9Z0G2	O54781
Q9Z0G2	P78362
Q9Z0G2	O70551
Q9Z0G2	Q96SB4
Q9Z0G2	P36616
Q9Z336	Q9Z336
Q9Z336	P63172
Q9Z336	P63171
Q9Z336	P51807
Q9Z336	Q94524
Q9Z336	P51808
Q9Z336	P56387
A7DTF0	A7DTF0
B4F7E7	B4F7E7
B4F7E7	E2QY99
B4F7E7	Q9JLB2
B4F7E7	Q8N3R9
B4F7E7	Q8JHF4
D3ZEN0	D3ZEN0
D3ZEN0	Q8IY33
D3ZEN0	Q3TN34
F2Y4A3	F2Y4A3
F2Y4A3	Q8L7L1
F4JRB0	F4JRB0
H2KY86	H2KY86
O04616	O04616
O04616	Q8LDD3
O32129	O32129
O32129	P60716
O32129	Q388A7
O32129	Q8IDQ0
O32129	Q9ZWT1
O32129	O43766
O32129	Q99M04
O32129	O13642
O32129	P32875
O70145	O70145
O70145	P19878
O70145	A7E3N2
O88273	O88273
O88273	Q9H772
O88273	O60565
O88273	O70326
O88273	O35793
O88273	O73754
P08312	P08312
P08312	P9WFU3
P0A7M2	P0A7M2
P0AA04	P0AA04
P0ACV6	P0ACV6
P0AFI2	P0AFI2
P0AFI2	Q9HUK1
P0CX29	P0CX29
P0CX29	Q6SA96
P0CX29	Q6FLA8
P0CX29	Q9SF35
P0CX29	A0A1D8PDU3
P0CX29	P0CT76
P0CX29	P62267
P0CX29	P62268
P0CX29	P0CX30
P0CX29	G1SZ47
P0CX29	Q8T3U2
P0CX29	P0CT75
P0CX29	P62266
P0CX29	P49201
P20107	P20107
P20107	P32798
P20107	O13918
P24349	P24349
P26370	P26370
P28167	P28167
P30873	P30873
P30873	P28646
P30873	P30872
P30873	P30680
P30873	P30874
P30873	P30875
P30873	P34994
P30873	P30935
P30873	P32745
P30873	P30936
P30873	P30937
P30873	P49660
P30873	P31391
P30873	P35372
P30873	P41143
P30873	P33535
P30873	P42866
P30873	P33533
P30873	P32300
P30873	P34975
P30873	P33534
P30873	P41145
P30873	P35377
P30873	P35370
P30873	P41146
P30873	O08858
P30873	P30938
P30873	P35346
P32570	P32570
P33309	P33309
P34548	P34548
P34548	Q9VBZ9
P34548	Q9UBV7
P34548	Q8R087
P36117	P36117
P36117	P47029
P37613	P37613
P38953	P38953
P39969	P39969
P46136	P46136
P50947	P50947
P53137	P53137
P54704	P54704
P59996	P59996
P59996	Q80W65
P59996	Q8NBP7
P69874	P69874
P69874	P31134
P69874	P16676
P69874	P14175
P69874	P17328
P69874	P9WQI3
P69874	P68187
P69874	P10907
P77712	P77712
P89102	P89102
P97414	P97414
P97414	P51787
P97414	Q9Z0N7
P97414	O43526
P97414	Q9Z351
P97414	O88943
P97414	O88944
P97414	O43525
P97414	Q8K3F6
P97414	P56696
P97414	Q9JK96
P97414	Q9JK97
P97414	Q9NR82
P97414	Q9JK45
P97943	P97943
P97943	Q8WTV0
P97943	Q8SQC1
P97943	Q61009
Q03496	Q03496
Q04688	Q04688
Q06706	Q06706
Q08949	Q08949
Q12341	Q12341
Q12341	Q59VF4
Q17381	Q17381
Q3ECJ5	Q3ECJ5
Q3UL53	Q3UL53
Q66JY2	Q66JY2
Q66JY2	Q53TQ3
Q6JP77	Q6JP77
Q6JP77	Q9P0M2
Q6JP77	Q7TN79
Q6Y7W8	Q6Y7W8
Q6Y7W8	Q6Y7W6
Q6Y7W8	O75420
Q6Y7W8	Q99MR1
Q80VI1	Q80VI1
Q80VI1	Q9BRZ2
Q86AT8	Q86AT8
Q8BH57	Q8BH57
Q8BH57	Q8TAF3
Q8BH57	Q20059
Q8BH57	Q1LZ08
Q8BPI1	Q8BPI1
Q8BPI1	Q9NVR5
Q8GXL3	Q8GXL3
Q8R4V1	Q8R4V1
Q8R4V1	Q8NET5
Q923B3	Q923B3
Q923B3	Q921B4
Q923B3	Q96GC6
Q96292	Q96292
Q96292	P60712
Q96292	P60711
Q96292	P07830
Q96292	P53498
Q96292	P63260
Q96292	P20359
Q96292	P63268
Q96292	P10986
Q96292	P86287
Q96292	P63261
Q96292	P53492
Q96292	Q96293
Q96292	P60706
Q96292	P68033
Q96292	P53476
Q96292	P63258
Q96292	P02572
Q96292	P0CJ47
Q96292	P63259
Q96292	Q553U6
Q96292	P02574
Q96292	P08023
Q96292	P63269
Q96292	P62737
Q96292	Q562R1
Q96292	P62738
Q96292	Q8I4X0
Q96292	P0CJ46
Q96292	P60710
Q96292	Q55EU6
Q96292	P68032
Q96292	P10984
Q96292	P53501
Q96292	P60009
Q96292	Q8BFZ3
Q96292	P68136
Q96292	P0DM41
Q96292	P53496
Q96292	P63267
Q96292	P68139
Q96292	P68035
Q96292	P10987
Q96292	P62740
Q96292	P29751
Q96292	P68133
Q96292	P83967
Q96292	P45521
Q96292	P68134
Q96292	P60010
Q96292	P68138
Q96292	Q8RYC2
Q96292	P62736
Q96292	P07829
Q96292	P10989
Q96292	Q4Z1L3
Q96292	Q9BYX7
Q96292	P10981
Q96292	P53497
Q96292	P53494
Q96292	P60709
Q96292	Q54GX7
Q96292	Q6QAQ1
Q96292	P68135
Q96292	P07828
Q96292	P0DM42
